Region,LAWA Site ID,Site name,Estuary name,Date sampled ,Indicator,Units,Indicator value,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2021/01/01,Macrofauna,N/A,4.82,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2020/01/01,Mud_content,%,43.0,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2020/01/01,Macrofauna,N/A,4.84,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2019/01/01,Mud_content,%,54.0,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2019/01/01,Macrofauna,N/A,4.94,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2018/01/01,Mud_content,%,48.1,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2018/01/01,Macrofauna,N/A,4.83,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2017/01/01,Mud_content,%,46.0,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2017/01/01,Macrofauna,N/A,4.71,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2016/01/01,Arsenic,mg/kg,11.9,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2016/01/01,Copper,mg/kg,6.3,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2016/01/01,Lead,mg/kg,5.8,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2016/01/01,Mercury,mg/kg,0.03,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2016/01/01,Zinc,mg/kg,33,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2016/01/01,Mud_content,%,43.4,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2016/01/01,Macrofauna,N/A,4.96,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2015/01/01,Mud_content,%,35.4,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2015/01/01,Macrofauna,N/A,4.32,,,,,,,,
